Stock Code,Real Time Available Volume for SBL Short Sales,Last Modify,
"證券代號 TT","可借券賣出股數"
"6173 TT","1,433,448"
"2439 TT","1,871,721"
"6174 TT","6,267"
"2441 TT","345,333"
"6175 TT","481,173"
"2442 TT","316,661"
"6179 TT","26,021"
"2443 TT","31,577"
"6180 TT","449,791"
"2444 TT","1,519,036"
"6182 TT","6,885,473"
"2448 TT","4,397,064"
"6185 TT","129,845"
"2449 TT","1,557,116"
"6186 TT","32,799"
"2450 TT","95,618"
"6187 TT","302,591"
"2451 TT","118,885"
"6188 TT","946,225"
"2453 TT","211,151"
"6190 TT","605,676"
"2454 TT","2,658,774"
"6194 TT","27,897"
"2455 TT","1,072,706"
"6195 TT","32,906"
"2456 TT","790,920"
"6203 TT","11,145"
"2457 TT","684,739"
"6204 TT","23,238"
"2458 TT","1,257,329"
"6207 TT","234,096"
"2459 TT","35,256"
"6208 TT","815,973"
"2460 TT","114,949"
"6210 TT","56,184"
"2461 TT","255,120"
"6212 TT","1,231"
"2462 TT","123,093"
"6217 TT","257,031"
"2464 TT","1,111,700"
"6218 TT","40,781"
"2466 TT","28,256"
"6220 TT","1,450,284"
"2467 TT","747,190"
"6221 TT","13,084"
"2468 TT","11,289"
"6223 TT","292,748"
"2471 TT","35,263"
"6227 TT","22,964"
"2472 TT","382,564"
"6229 TT","72,542"
"2474 TT","1,481,626"
"6231 TT","363,203"
"2476 TT","70,408"
"6233 TT","145,528"
"2477 TT","469,061"
"6234 TT","87,250"
"2478 TT","160,797"
"6237 TT","74,033"
"2481 TT","1,401,889"
"6238 TT","372,252"
"2482 TT","32,734"
"6240 TT","357"
"2483 TT","61,591"
"6244 TT","258"
"2484 TT","272,887"
"6245 TT","167,160"
"2485 TT","570,108"
"6246 TT","5,354"
"2486 TT","1,111,125"
"6248 TT","1,283"
"2488 TT","88,074"
"6261 TT","613,577"
"2489 TT","965,479"
"6263 TT","57,338"
"2492 TT","1,164,874"
"6265 TT","170,632"
"2493 TT","54,258"
"6266 TT","119,898"
"2495 TT","73,678"
"6270 TT","37,600"
"2496 TT","80,223"
"6274 TT","1,641,960"
"2497 TT","42,964"
"6275 TT","879,320"
"2498 TT","481"
"6276 TT","87,507"
"2499 TT","665,396"
"6279 TT","221,210"
"2501 TT","271,102"
"6284 TT","539,795"
"2504 TT","370,739"
"6290 TT","893,221"
"2505 TT","226,466"
"6292 TT","59,968"
"2506 TT","45,751"
"6294 TT","33,728"
"2509 TT","28,231"
"6298 TT","241,626"
"2511 TT","433,281"
"6404 TT","142,766"
"2514 TT","110,161"
"6411 TT","701,328"
"2515 TT","927,187"
"6417 TT","21,835"
"2516 TT","227,095"
"6426 TT","716,497"
"2520 TT","468,483"
"6432 TT","20,991"
"2524 TT","14,118"
"6435 TT","994,691"
"2527 TT","53,047"
"6438 TT","786,712"
"2528 TT","305,216"
"6462 TT","1,013,168"
"2530 TT","56,108"
"6465 TT","16,329"
"2534 TT","811,941"
"6470 TT","139,737"
"2535 TT","174,807"
"6485 TT","92,561"
"2536 TT","128,985"
"6486 TT","367,382"
"2537 TT","112,813"
"6488 TT","1,809,282"
"2538 TT","157,058"
"6496 TT","45,398"
"2539 TT","51,384"
"6506 TT","56,299"
"2540 TT","15,525"
"6508 TT","26,226"
"2542 TT","814,000"
"6509 TT","559,909"
"2543 TT","7,821"
"6510 TT","99,900"
"2545 TT","233,262"
"6523 TT","14,431"
"2546 TT","47,575"
"6532 TT","178,677"
"2547 TT","224,216"
"6538 TT","7,188"
"2548 TT","250,683"
"6542 TT","25,169"
"2597 TT","12,056"
"6548 TT","25,950"
"2601 TT","1,612,313"
"6554 TT","378,868"
"2603 TT","9,209,617"
"6568 TT","225,199"
"2605 TT","850,853"
"6569 TT","35,820"
"2606 TT","1,040,132"
"6603 TT","122,775"
"2607 TT","684,864"
"6609 TT","32,011"
"2608 TT","33,818"
"6803 TT","26,580"
"2609 TT","3,553,556"
"8024 TT","25,070"
"2610 TT","8,019,540"
"8027 TT","184,656"
"2611 TT","80,303"
"8032 TT","6,119"
"2612 TT","248,595"
"8038 TT","286,285"
"2613 TT","64,680"
"8042 TT","220,125"
"2615 TT","1,469,826"
"8043 TT","29,256"
"2616 TT","170,940"
"8044 TT","239,343"
"2617 TT","321,951"
"8047 TT","3,952"
"2618 TT","3,237,909"
"8048 TT","23,890"
"2633 TT","2,146,814"
"8049 TT","802,551"
"2634 TT","400,653"
"8050 TT","159,172"
"2636 TT","294,815"
"8054 TT","236,448"
"2637 TT","223,707"
"8059 TT","80,441"
"2642 TT","229,488"
"8064 TT","776,516"
"2701 TT","24,899"
"8066 TT","62,875"
"2702 TT","4,747"
"8069 TT","3,862,584"
"2704 TT","25,322"
"8071 TT","586,425"
"2705 TT","90,254"
"8074 TT","43,801"
"2706 TT","39,307"
"8076 TT","255,644"
"2707 TT","72,986"
"8083 TT","13,981"
"2712 TT","1,239"
"8086 TT","1,812,823"
"2722 TT","3,232"
"8088 TT","97,291"
"2723 TT","83,266"
"8091 TT","278,264"
"2727 TT","135,023"
"8096 TT","338,216"
"2731 TT","83,169"
"8097 TT","5,442"
"2739 TT","59,748"
"8099 TT","56,877"
"2748 TT","96,915"
"8107 TT","506,793"
"2801 TT","2,305,897"
"8109 TT","16,069"
"2809 TT","309,166"
"8147 TT","9,376"
"2812 TT","2,154,092"
"8155 TT","327,636"
"2816 TT","67,424"
"8171 TT","26,633"
"2820 TT","351,038"
"8176 TT","123,991"
"2823 TT","3,850,221"
"8182 TT","194,759"
"2832 TT","53,773"
"8183 TT","818,515"
"2834 TT","2,871,097"
"8234 TT","86,729"
"2836 TT","243,972"
"8240 TT","12,818"
"2838 TT","344,462"
"8255 TT","61,338"
"2841 TT","420,050"
"8277 TT","120,730"
"2845 TT","1,459,602"
"8287 TT","248,967"
"2849 TT","15,837"
"8289 TT","28,153"
"2850 TT","44,856"
"8299 TT","607,863"
"2851 TT","47,133"
"8349 TT","171,532"
"2852 TT","114,996"
"8354 TT","20,805"
"2855 TT","195,584"
"8358 TT","5,471,122"
"2856 TT","242,376"
"8383 TT","430,827"
"2867 TT","697,985"
"8390 TT","95,928"
"2880 TT","4,626,923"
"8401 TT","94,403"
"2881 TT","3,438,636"
"8403 TT","119,214"
"2882 TT","2,854,174"
"8406 TT","266,180"
"2883 TT","10,948,072"
"8410 TT","47,767"
"2884 TT","8,299,682"
"8415 TT","51,005"
