Stock Code,Real Time Available Volume for SBL Short Sales,Last Modify,
"2466" TT,"23329","13:23:55.15"
"2467" TT,"722490","13:24:56.34"
"2468" TT,"11769",""
"2471" TT,"45525",""
"2472" TT,"359627","13:24:35.14"
"2474" TT,"1463599","13:25:00.49"
"2476" TT,"69210",""
"2477" TT,"496236","13:24:54.30"
"2478" TT,"183582","13:24:13.66"
"2481" TT,"1356894","13:29:05.86"
"2482" TT,"32294",""
"2483" TT,"63253",""
"2484" TT,"283039",""
"2485" TT,"559054","13:29:25.40"
"2486" TT,"1061964","13:24:16.05"
"2488" TT,"77801","13:29:15.70"
"2489" TT,"474899","13:32:05.38"
"2492" TT,"1169278",""
"2493" TT,"54510",""
"2495" TT,"57037","13:29:03.78"
"2496" TT,"90613",""
"2497" TT,"375","12:15:08.29"
"2498" TT,"481","13:22:44.17"
"2499" TT,"604459","13:29:21.75"
"2501" TT,"282693",""
"2504" TT,"299227","13:29:16.73"
"2505" TT,"75921","13:30:40.29"
"2506" TT,"14368","13:23:59.02"
"2509" TT,"25391","13:23:36.31"
"2511" TT,"409479","13:29:20.75"
"2514" TT,"100630","13:23:36.29"
"2515" TT,"745903","13:29:18.79"
"2516" TT,"229250",""
"2520" TT,"409307","13:29:09.88"
"2524" TT,"13200",""
"2527" TT,"46279","13:24:07.41"
"2528" TT,"340889",""
"2530" TT,"53276",""
"2534" TT,"754607","13:24:49.35"
"2535" TT,"191728",""
"2536" TT,"129808","13:28:53.32"
"2537" TT,"100019",""
"2538" TT,"115998","13:29:07.95"
"2539" TT,"51268",""
"2540" TT,"17216",""
"2542" TT,"725393","15:08:37.81"
"2543" TT,"7762",""
"2545" TT,"32139","13:29:28.02"
"2546" TT,"52196",""
"2547" TT,"231906",""
"2548" TT,"254273","13:23:11.53"
"2596" TT,"39168",""
"2597" TT,"12138",""
"2601" TT,"1456749","13:24:24.82"
"2603" TT,"8477156","13:25:04.43"
"2605" TT,"603043","13:29:24.96"
"2606" TT,"959327","13:25:06.26"
"2607" TT,"545959","13:29:12.85"
"2608" TT,"27351","13:29:04.88"
"2609" TT,"3471508","13:29:19.69"
"2610" TT,"7559372",""
"2611" TT,"79685",""
"2612" TT,"152714","13:24:23.42"
"2613" TT,"60058",""
"2615" TT,"956113","13:26:15.23"
"2616" TT,"167533","13:24:02.78"
"2617" TT,"314500",""
"2618" TT,"2848696","13:29:25.66"
"2633" TT,"2156060",""
"2634" TT,"393462","09:01:20.02"
